[  21 / 132 ] flow_distance =   130.801678842534670 | volume_distance =    11.292253456828439 | sum_distance =   142.093932299363104 | exercise(cycle,model) = exerc_2 | exerc_1

[  22 / 132 ] flow_distance =    46.062595319868763 | volume_distance =    16.752758984468375 | sum_distance =    62.815354304337134 | exercise(cycle,model) = exerc_2 | exerc_4
[  22 / 132 ] flow_distance =    50.018738177137713 | volume_distance =    16.548876888469124 | sum_distance =    66.567615065606844 | exercise(cycle,model) = exerc_2 | exerc_6
[  22 / 132 ] flow_distance =   139.402587817552842 | volume_distance =    13.468511237634262 | sum_distance =   152.871099055187102 | exercise(cycle,model) = exerc_2 | exerc_3
[  22 / 132 ] flow_distance =    13.679042528284645 | volume_distance =    26.337216828472499 | sum_distance =    40.016259356757146 | exercise(cycle,model) = exerc_2 | exerc_7
[  22 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_2 | exerc_2
[  22 / 132 ] flow_distance =    34.095818341071940 | volume_distance =    20.806914441423501 | sum_distance =    54.902732782495441 | exercise(cycle,model) = exerc_2 | exerc_5
[  22 / 132 ] flow_distance =    61.952534509965922 | volume_distance =     2.120860132752106 | sum_distance =    64.073394642718029 | exercise(cycle,model) = exerc_2 | exerc_1

[  23 / 132 ] flow_distance =    49.986932342929734 | volume_distance =     3.362670891999127 | sum_distance =    53.349603234928864 | exercise(cycle,model) = exerc_2 | exerc_4
[  23 / 132 ] flow_distance =    70.283109605733458 | volume_distance =     5.743051879593648 | sum_distance =    76.026161485327108 | exercise(cycle,model) = exerc_2 | exerc_6
[  23 / 132 ] flow_distance =   123.971015414762931 | volume_distance =     3.162526751864466 | sum_distance =   127.133542166627393 | exercise(cycle,model) = exerc_2 | exerc_3
[  23 / 132 ] flow_distance =    34.661287173331310 | volume_distance =     6.360041765572432 | sum_distance =    41.021328938903743 | exercise(cycle,model) = exerc_2 | exerc_7
[  23 / 132 ] flow_distance =    23.137662074438644 | volume_distance =    10.527904102712380 | sum_distance =    33.665566177151021 | exercise(cycle,model) = exerc_2 | exerc_2
[  23 / 132 ] flow_distance =    25.765927291165465 | volume_distance =     4.094921976908722 | sum_distance =    29.860849268074187 | exercise(cycle,model) = exerc_2 | exerc_5
[  23 / 132 ] flow_distance =    46.032979410634674 | volume_distance =     9.244641690954467 | sum_distance =    55.277621101589141 | exercise(cycle,model) = exerc_2 | exerc_1

[  24 / 132 ] flow_distance =    46.787665719327698 | volume_distance =     4.942827235717771 | sum_distance =    51.730492955045470 | exercise(cycle,model) = exerc_2 | exerc_4
[  24 / 132 ] flow_distance =    46.626299289438997 | volume_distance =     2.182684019738060 | sum_distance =    48.808983309177059 | exercise(cycle,model) = exerc_2 | exerc_6
[  24 / 132 ] flow_distance =   124.220678420348904 | volume_distance =    12.375879989206503 | sum_distance =   136.596558409555399 | exercise(cycle,model) = exerc_2 | exerc_3
[  24 / 132 ] flow_distance =    30.699812178795444 | volume_distance =     7.409568236965351 | sum_distance =    38.109380415760796 | exercise(cycle,model) = exerc_2 | exerc_7
[  24 / 132 ] flow_distance =    17.926863264539787 | volume_distance =    21.550607368370255 | sum_distance =    39.477470632910041 | exercise(cycle,model) = exerc_2 | exerc_2
[  24 / 132 ] flow_distance =    28.164569442943744 | volume_distance =     4.654609119242033 | sum_distance =    32.819178562185776 | exercise(cycle,model) = exerc_2 | exerc_5
[  24 / 132 ] flow_distance =    39.375995736318309 | volume_distance =    20.332259788170120 | sum_distance =    59.708255524488429 | exercise(cycle,model) = exerc_2 | exerc_1

[  25 / 132 ] flow_distance =    60.355202067123578 | volume_distance =     1.050039746435512 | sum_distance =    61.405241813559087 | exercise(cycle,model) = exerc_2 | exerc_4
[  25 / 132 ] flow_distance =    24.874712966839045 | volume_distance =     3.288380488381402 | sum_distance =    28.163093455220448 | exercise(cycle,model) = exerc_2 | exerc_6
