[  16 / 132 ] flow_distance =    50.000569373068736 | volume_distance =     3.584352198432761 | sum_distance =    53.584921571501496 | exercise(cycle,model) = exerc_1 | exerc_1

[  17 / 132 ] flow_distance =   147.286248310981051 | volume_distance =     4.741749400670870 | sum_distance =   152.027997711651921 | exercise(cycle,model) = exerc_1 | exerc_4
[  17 / 132 ] flow_distance =    61.783623067278995 | volume_distance =     5.942076565069550 | sum_distance =    67.725699632348551 | exercise(cycle,model) = exerc_1 | exerc_6
[  17 / 132 ] flow_distance =   276.458085073756479 | volume_distance =     8.995811769059513 | sum_distance =   285.453896842815993 | exercise(cycle,model) = exerc_1 | exerc_3
[  17 / 132 ] flow_distance =    34.619651549811387 | volume_distance =    17.960982455115801 | sum_distance =    52.580634004927191 | exercise(cycle,model) = exerc_1 | exerc_7
[  17 / 132 ] flow_distance =    18.065086334920682 | volume_distance =     1.343465487719383 | sum_distance =    19.408551822640067 | exercise(cycle,model) = exerc_1 | exerc_2
[  17 / 132 ] flow_distance =    51.551708145579170 | volume_distance =     9.362206768740478 | sum_distance =    60.913914914319648 | exercise(cycle,model) = exerc_1 | exerc_5
[  17 / 132 ] flow_distance =    64.648668541717697 | volume_distance =     3.579297224001523 | sum_distance =    68.227965765719219 | exercise(cycle,model) = exerc_1 | exerc_1

[  18 / 132 ] flow_distance =   270.202826439653677 | volume_distance =   166.305590738129837 | sum_distance =   436.508417177783485 | exercise(cycle,model) = exerc_1 | exerc_4
[  18 / 132 ] flow_distance =   207.814656357941914 | volume_distance =   286.080647732788748 | sum_distance =   493.895304090730633 | exercise(cycle,model) = exerc_1 | exerc_6
[  18 / 132 ] flow_distance =   372.962406021376466 | volume_distance =   198.989005306161232 | sum_distance =   571.951411327537699 | exercise(cycle,model) = exerc_1 | exerc_3
[  18 / 132 ] flow_distance =   368.856047881887775 | volume_distance =   416.099535689737991 | sum_distance =   784.955583571625766 | exercise(cycle,model) = exerc_1 | exerc_7
[  18 / 132 ] flow_distance =   154.704189576031524 | volume_distance =    85.047841807191560 | sum_distance =   239.752031383223084 | exercise(cycle,model) = exerc_1 | exerc_2
